Support	U	c1	c2	J_FP	E_Metal	R_Hybrid	OV_Classification
a-TiO2	0.5	1	0	11.80841015	21.62678795	0.267497583	1
a-TiO2	1	1	0	14.57953477	32.51715292	0.267497583	1
a-TiO2	1.5	1	0	17.58186785	44.15602816	0.267497583	-1
a-TiO2	2	1	0	20.76225741	55.90742645	0.267497583	-1
a-TiO2	2.5	1	0	24.04151895	67.34930034	0.267497583	-1
a-TiO2	3	1	0	27.33584848	78.1968068	0.267497583	-1
a-TiO2	0.5	1	-0.1	11.09326119	15.92412412	0.267497583	1
a-TiO2	1	1	-0.1	13.02490227	22.52942141	0.267497583	1
a-TiO2	1.5	1	-0.1	15.10966853	30.27555437	0.267497583	-1
a-TiO2	2	1	-0.1	17.35186971	38.5494358	0.267497583	-1
a-TiO2	2.5	1	-0.1	19.74977307	47.09596541	0.267497583	-1
a-TiO2	3	1	-0.1	22.30130747	55.78072259	0.267497583	-1
a-TiO2	0.5	1	-0.2	10.41017835	11.84766775	0.267497583	1
a-TiO2	1	1	-0.2	11.57787539	14.64025209	0.267497583	1
a-TiO2	1.5	1	-0.2	12.81628717	19.16689241	0.267497583	1
a-TiO2	2	1	-0.2	14.13344152	24.51088042	0.267497583	-1
a-TiO2	2.5	1	-0.2	15.53713649	30.26172591	0.267497583	-1
a-TiO2	3	1	-0.2	17.04828679	36.26902376	0.267497583	-1
a-TiO2	0.5	1	-0.3	9.759448151	9.864206357	0.267497583	1
a-TiO2	1	1	-0.3	10.22376661	9.103480647	0.267497583	1
a-TiO2	1.5	1	-0.3	10.7021462	10.94660583	0.267497583	1
a-TiO2	2	1	-0.3	11.19475752	14.42145609	0.267497583	-2
a-TiO2	2.5	1	-0.3	11.70242006	18.61242545	0.267497583	-2
a-TiO2	3	1	-0.3	12.22706704	23.10838716	0.267497583	-2
a-TiO2	0.5	1	-0.4	9.13430255	9.968607494	0.267497583	1
a-TiO2	1	1	-0.4	8.937467509	6.41736754	0.267497583	1
a-TiO2	1.5	1	-0.4	8.716250794	5.581631462	0.267497583	1
a-TiO2	2	1	-0.4	8.468558209	8.332511682	0.267497583	-2
a-TiO2	2.5	1	-0.4	8.192392	12.46891111	0.267497583	-2
a-TiO2	3	1	-0.4	7.885782766	16.97065849	0.267497583	-2
a-TiO2	0.5	1	-0.5	8.528950156	11.24959932	0.267497583	1
a-TiO2	1	1	-0.5	7.690052956	6.247483388	0.267497583	1
a-TiO2	1.5	1	-0.5	6.791691298	3.192297605	0.267497583	1
a-TiO2	2	1	-0.5	5.832855122	6.273287918	0.267497583	-2
a-TiO2	2.5	1	-0.5	4.816320349	11.16322923	0.267497583	-2
a-TiO2	3	1	-0.5	3.752921551	16.20906192	0.267497583	-2
a-TiO2	0.5	0.9	-0.1	11.02912936	52.23676939	0.267497583	1
a-TiO2	1	0.9	-0.1	12.83686579	58.13635867	0.267497583	1
a-TiO2	1.5	0.9	-0.1	14.72751356	64.09190606	0.267497583	1
a-TiO2	2	0.9	-0.1	16.69810441	70.06621813	0.267497583	-1
a-TiO2	2.5	0.9	-0.1	18.74154111	76.03422487	0.267497583	-1
a-TiO2	3	0.9	-0.1	20.85147209	81.9618038	0.267497583	-1
a-TiO2	0.5	0.9	-0.5	8.139257073	36.97348955	0.267497583	1
a-TiO2	1	0.9	-0.5	6.863059151	39.17278318	0.267497583	1
a-TiO2	1.5	0.9	-0.5	5.472892151	41.49065017	0.267497583	1
a-TiO2	2	0.9	-0.5	3.970225686	43.88272748	0.267497583	1
a-TiO2	2.5	0.9	-0.5	2.393835853	46.30508081	0.267497583	-2
a-TiO2	3	0.9	-0.5	1.160817344	48.7179859	0.267497583	-2
a-TiO2	0.5	1.1	0	11.54962385	27.36820428	0.267497583	1
a-TiO2	1	1.1	0	14.17456204	15.68308294	0.267497583	-1
a-TiO2	1.5	1.1	0	17.2565088	13.75845275	0.267497583	-1
a-TiO2	2	1.1	0	20.80440758	25.57208158	0.267497583	-1
a-TiO2	2.5	1.1	0	24.67409628	40.69648339	0.267497583	-1
a-TiO2	3	1.1	0	28.67755778	55.83430725	0.267497583	-1
a-TiO2	0.5	1.1	-0.5	8.8863526	52.80621129	0.267497583	1
a-TiO2	1	1.1	-0.5	8.439660191	47.28195296	0.267497583	-2
a-TiO2	1.5	1.1	-0.5	7.967784722	42.5872125	0.267497583	-2
a-TiO2	2	1.1	-0.5	7.469087637	39.19564199	0.267497583	-2
a-TiO2	2.5	1.1	-0.5	6.949916117	37.6051527	0.267497583	-2
a-TiO2	3	1.1	-0.5	6.381995382	38.15236059	0.267497583	-2
CeO2	2.240325161	0.938018677	-0.194352997	6.637946747	17.76966071	0.097773389	-2
CeO2	1.315058476	0.90182538	-0.231069736	6.266895046	12.89912138	0.097773389	-2
CeO2	0.750155026	0.887358083	-0.207068615	6.191796567	14.60476097	0.097773389	1
CeO2	3.728261988	0.982033406	-0.158457787	7.39404444	19.00345617	0.097773389	-2
CeO2	3.950496108	0.966575077	-0.191023625	7.193330878	14.21765895	0.097773389	-2
Cu2O	2.375820348	0.985512788	-0.475436951	11.75266324	3.816172477	2.218197816	1
Cu2O	0.310253131	0.981557893	-0.484066688	4.031066869	5.466635228	2.218197816	1
