U	c1	c2	JFP
4.694	0.980	-0.551	0.109280608
4.693877551	0.959183673	-0.53877551	0.162950156
4.693877551	0.969387755	-0.551020408	0.18224761
4.693877551	0.989795918	-0.563265306	0.258431647
4.693877551	1	-0.563265306	0.280533706
4.693877551	0.948979592	-0.53877551	0.284716833
4.693877551	0.969387755	-0.53877551	0.354767453
4.693877551	0.93877551	-0.526530612	0.365958831
4.693877551	0.989795918	-0.551020408	0.379778052
4.693877551	0.948979592	-0.526530612	0.447433935
4.693877551	0.959183673	-0.551020408	0.457437419
4.693877551	0.979591837	-0.563265306	0.457577045
4.693877551	0.928571429	-0.526530612	0.47088298
4.693877551	1	-0.575510204	0.529328169
4.693877551	0.93877551	-0.53877551	0.539072595
4.591836735	0.969387755	-0.551020408	0.576463572
4.693877551	0.918367347	-0.514285714	0.588256266
4.591836735	0.989795918	-0.563265306	0.595961335
4.693877551	0.979591837	-0.53877551	0.614654815
4.693877551	0.928571429	-0.514285714	0.615813727
4.591836735	0.979591837	-0.551020408	0.625249115
4.591836735	0.948979592	-0.53877551	0.627083552
4.591836735	0.979591837	-0.563265306	0.641995484
4.693877551	0.959183673	-0.526530612	0.647576398
4.591836735	0.959183673	-0.53877551	0.648213336
4.591836735	0.959183673	-0.551020408	0.648975342
4.693877551	1	-0.551020408	0.654905697
4.591836735	1	-0.563265306	0.667401537
4.693877551	0.918367347	-0.526530612	0.681779436
4.693877551	0.908163265	-0.514285714	0.683519986
4.591836735	1	-0.575510204	0.690349106
4.795918367	0.979591837	-0.551020408	0.702330737
4.795918367	0.959183673	-0.53877551	0.704935664
4.693877551	0.969387755	-0.563265306	0.712522202
4.591836735	0.93877551	-0.53877551	0.716948165
4.795918367	0.969387755	-0.53877551	0.719459519
3.469387755	0.969387755	-0.6	0.726634202
3.469387755	0.959183673	-0.6	0.734809541
4.693877551	0.948979592	-0.551020408	0.735711028
4.591836735	0.93877551	-0.526530612	0.737631012
4.693877551	0.989795918	-0.575510204	0.738136511
3.571428571	0.979591837	-0.6	0.738800082
3.571428571	0.969387755	-0.6	0.738843914
4.795918367	0.989795918	-0.551020408	0.740623838
4.591836735	0.928571429	-0.526530612	0.740866507
4.693877551	0.93877551	-0.514285714	0.752029819
4.795918367	1	-0.563265306	0.753820988
4.795918367	0.948979592	-0.526530612	0.759694256
4.795918367	0.93877551	-0.526530612	0.768812946
4.591836735	0.969387755	-0.53877551	0.770542863
4.591836735	0.989795918	-0.551020408	0.77196716
4.795918367	0.969387755	-0.551020408	0.773934426
3.469387755	0.979591837	-0.6	0.774599893
4.591836735	0.969387755	-0.563265306	0.785824244
3.571428571	0.989795918	-0.6	0.796647995
3.571428571	0.959183673	-0.6	0.797101228
3.469387755	0.948979592	-0.6	0.797705063
4.795918367	0.948979592	-0.53877551	0.79842635
4.795918367	0.989795918	-0.563265306	0.799479122
4.591836735	0.989795918	-0.575510204	0.8061509
4.693877551	0.928571429	-0.53877551	0.810178033
4.591836735	0.948979592	-0.551020408	0.811570777
4.693877551	0.897959184	-0.502040816	0.82186856
4.693877551	0.908163265	-0.502040816	0.821890785
4.591836735	0.948979592	-0.526530612	0.828350269
4.795918367	0.979591837	-0.53877551	0.835626811
4.591836735	0.918367347	-0.526530612	0.837638411
4.795918367	0.959183673	-0.526530612	0.850548424
4.795918367	0.928571429	-0.514285714	0.859968155
4.693877551	0.897959184	-0.514285714	0.862499325
3.571428571	0.959183673	-0.587755102	0.86721354
3.469387755	0.989795918	-0.6	0.869189148
4.795918367	1	-0.551020408	0.873767495
4.795918367	0.928571429	-0.526530612	0.875515455
3.571428571	0.948979592	-0.587755102	0.878267218
4.591836735	0.918367347	-0.514285714	0.87986673
4.693877551	0.989795918	-0.53877551	0.883861499
4.591836735	0.928571429	-0.53877551	0.885246878
4.795918367	0.918367347	-0.514285714	0.887787887
4.693877551	0.969387755	-0.526530612	0.88895001
3.469387755	0.948979592	-0.587755102	0.890584448
4.591836735	0.908163265	-0.514285714	0.900405856
3.571428571	1	-0.6	0.901019964
3.571428571	0.948979592	-0.6	0.90266335
3.469387755	0.93877551	-0.6	0.904242102
3.571428571	0.969387755	-0.587755102	0.906512977
3.469387755	0.93877551	-0.587755102	0.907331251
4.693877551	0.918367347	-0.502040816	0.910460085
4.693877551	0.887755102	-0.502040816	0.911058031
3.469387755	0.959183673	-0.587755102	0.92037538
4.795918367	0.93877551	-0.514285714	0.922730859
4.693877551	0.908163265	-0.526530612	0.929751009
4.795918367	0.959183673	-0.551020408	0.931094102
4.795918367	0.979591837	-0.563265306	0.933842825
3.571428571	0.93877551	-0.587755102	0.938177674
4.591836735	0.928571429	-0.514285714	0.940578952
4.693877551	0.948979592	-0.514285714	0.950704913
4.591836735	0.979591837	-0.53877551	0.95540685
3.469387755	0.928571429	-0.587755102	0.968455088
4.795918367	0.93877551	-0.53877551	0.969831296
4.795918367	1	-0.575510204	0.972000693
4.591836735	1	-0.551020408	0.972731263
4.693877551	0.959183673	-0.563265306	0.981306387
4.693877551	0.979591837	-0.575510204	0.982952898
4.591836735	0.959183673	-0.563265306	0.986106026
4.591836735	0.979591837	-0.575510204	0.986129212
4.591836735	0.959183673	-0.526530612	0.986901253
3.571428571	0.979591837	-0.587755102	0.989924418
3.469387755	0.969387755	-0.587755102	0.992280542
3.469387755	1	-0.6	0.996985211
4.591836735	0.897959184	-0.514285714	0.997753357
4.795918367	0.908163265	-0.514285714	0.999291982
4.591836735	0.908163265	-0.526530612	1.001752238
4.795918367	0.908163265	-0.502040816	1.00894445
4.795918367	0.969387755	-0.526530612	1.01425245
3.571428571	0.93877551	-0.575510204	1.014436678
4.693877551	1	-0.587755102	1.014911342
4.693877551	0.93877551	-0.551020408	1.015148372
4.591836735	1	-0.587755102	1.017933494
4.795918367	0.989795918	-0.53877551	1.018642587
3.673469388	0.979591837	-0.6	1.020778828
4.591836735	0.93877551	-0.551020408	1.022692371
3.673469388	0.989795918	-0.6	1.029165401
3.571428571	0.928571429	-0.575510204	1.033261261
3.571428571	0.928571429	-0.587755102	1.038782225
3.571428571	0.948979592	-0.575510204	1.039061446
3.469387755	0.928571429	-0.6	1.041347506
3.571428571	0.93877551	-0.6	1.041501607
4.795918367	0.918367347	-0.502040816	1.046607901
4.795918367	0.897959184	-0.502040816	1.049444517
4.693877551	0.887755102	-0.489795918	1.049828755
4.795918367	0.918367347	-0.526530612	1.051095732
3.673469388	0.969387755	-0.6	1.057968508
4.591836735	0.897959184	-0.502040816	1.05941696
4.795918367	0.948979592	-0.514285714	1.059512261
3.469387755	0.928571429	-0.575510204	1.062494182
4.489795918	0.979591837	-0.563265306	1.064109239
4.693877551	0.928571429	-0.502040816	1.06517141
4.693877551	0.87755102	-0.489795918	1.065506033
3.469387755	0.918367347	-0.587755102	1.066583083
4.693877551	0.87755102	-0.502040816	1.067895983
4.591836735	0.93877551	-0.514285714	1.068266494
4.489795918	0.969387755	-0.551020408	1.071755687
4.489795918	0.959183673	-0.551020408	1.074718435
4.489795918	0.989795918	-0.563265306	1.075318965
3.469387755	0.93877551	-0.575510204	1.079242764
3.673469388	1	-0.6	1.081804181
3.469387755	0.918367347	-0.575510204	1.084982325
4.693877551	0.887755102	-0.514285714	1.085080967
4.693877551	0.918367347	-0.53877551	1.086132154
4.489795918	1	-0.575510204	1.088798105
4.591836735	0.887755102	-0.502040816	1.091220629
3.571428571	0.918367347	-0.575510204	1.093536044
4.591836735	0.908163265	-0.502040816	1.096036408
4.591836735	0.918367347	-0.53877551	1.096966459
3.469387755	0.979591837	-0.587755102	1.097841836
3.673469388	0.969387755	-0.587755102	1.098446135
3.673469388	0.959183673	-0.587755102	1.0998692
3.367346939	0.959183673	-0.6	1.101873455
3.571428571	0.959183673	-0.575510204	1.103995335
4.693877551	0.897959184	-0.489795918	1.105726311
3.571428571	0.989795918	-0.587755102	1.107293058
4.489795918	0.948979592	-0.53877551	1.107606996
3.367346939	0.948979592	-0.6	1.110389892
4.489795918	0.969387755	-0.563265306	1.117849129
4.489795918	0.93877551	-0.53877551	1.124074011
4.795918367	0.969387755	-0.563265306	1.126164481
4.489795918	0.989795918	-0.575510204	1.127926572
3.367346939	0.969387755	-0.6	1.128902566
4.489795918	0.979591837	-0.551020408	1.132571956
3.469387755	0.948979592	-0.575510204	1.133277788
3.673469388	0.959183673	-0.6	1.136523927
3.673469388	0.979591837	-0.587755102	1.139080883
4.795918367	0.948979592	-0.551020408	1.139505459
4.489795918	0.948979592	-0.551020408	1.141423477
4.795918367	0.989795918	-0.575510204	1.142662692
3.673469388	0.948979592	-0.587755102	1.14344443
3.469387755	0.908163265	-0.575510204	1.144609556
4.693877551	0.979591837	-0.526530612	1.145286377
4.489795918	1	-0.563265306	1.149124843
4.693877551	0.867346939	-0.489795918	1.150357443
4.591836735	0.887755102	-0.514285714	1.153107248
4.489795918	0.959183673	-0.53877551	1.153554174
3.367346939	0.93877551	-0.6	1.153857345
4.795918367	0.928571429	-0.502040816	1.154263476
4.693877551	1	-0.53877551	1.155400008
4.795918367	0.887755102	-0.502040816	1.160505872
3.571428571	0.918367347	-0.587755102	1.169859583
4.795918367	0.897959184	-0.514285714	1.171369669
4.591836735	0.989795918	-0.53877551	1.173157617
3.571428571	0.918367347	-0.563265306	1.175786529
4.693877551	0.959183673	-0.514285714	1.180232183
4.489795918	0.928571429	-0.526530612	1.183716365
4.591836735	0.969387755	-0.526530612	1.185936579
4.795918367	0.928571429	-0.53877551	1.186390751
4.591836735	0.87755102	-0.502040816	1.186432441
3.367346939	0.979591837	-0.6	1.1888714
3.571428571	0.928571429	-0.563265306	1.189065912
3.571428571	0.908163265	-0.575510204	1.189200236
4.693877551	0.897959184	-0.526530612	1.192404645
3.469387755	0.908163265	-0.587755102	1.192825404
3.673469388	0.948979592	-0.575510204	1.193572917
4.795918367	0.887755102	-0.489795918	1.194210906
4.591836735	0.918367347	-0.502040816	1.19433891
3.469387755	0.918367347	-0.6	1.198787346
3.571428571	0.908163265	-0.563265306	1.200124172
