U	c1	c2
4.694	0.98	-0.551
4.693877551	0.959183673	-0.53877551
4.693877551	0.969387755	-0.551020408
4.693877551	0.989795918	-0.563265306
4.693877551	1.0	-0.563265306
4.693877551	0.948979592	-0.53877551
4.693877551	0.969387755	-0.53877551
4.693877551	0.93877551	-0.526530612
4.693877551	0.989795918	-0.551020408
4.693877551	0.948979592	-0.526530612
4.693877551	0.959183673	-0.551020408
4.693877551	0.979591837	-0.563265306
4.693877551	0.928571429	-0.526530612
4.693877551	1.0	-0.575510204
4.693877551	0.93877551	-0.53877551
4.591836735	0.969387755	-0.551020408
4.693877551	0.918367347	-0.514285714
4.591836735	0.989795918	-0.563265306
4.693877551	0.979591837	-0.53877551
4.693877551	0.928571429	-0.514285714
4.591836735	0.979591837	-0.551020408
4.591836735	0.948979592	-0.53877551
4.591836735	0.979591837	-0.563265306
4.693877551	0.959183673	-0.526530612
4.591836735	0.959183673	-0.53877551
4.591836735	0.959183673	-0.551020408
4.693877551	1.0	-0.551020408
4.591836735	1.0	-0.563265306
4.693877551	0.918367347	-0.526530612
4.693877551	0.908163265	-0.514285714
4.591836735	1.0	-0.575510204
4.795918367	0.979591837	-0.551020408
4.795918367	0.959183673	-0.53877551
4.693877551	0.969387755	-0.563265306
4.591836735	0.93877551	-0.53877551
4.795918367	0.969387755	-0.53877551
4.693877551	0.948979592	-0.551020408
4.591836735	0.93877551	-0.526530612
4.693877551	0.989795918	-0.575510204
4.795918367	0.989795918	-0.551020408
4.591836735	0.928571429	-0.526530612
4.693877551	0.93877551	-0.514285714
4.795918367	1.0	-0.563265306
4.795918367	0.948979592	-0.526530612
4.795918367	0.93877551	-0.526530612
4.591836735	0.969387755	-0.53877551
4.591836735	0.989795918	-0.551020408
4.795918367	0.969387755	-0.551020408
4.591836735	0.969387755	-0.563265306
4.795918367	0.948979592	-0.53877551
4.795918367	0.989795918	-0.563265306
4.591836735	0.989795918	-0.575510204
4.693877551	0.928571429	-0.53877551
4.591836735	0.948979592	-0.551020408
4.693877551	0.897959184	-0.502040816
4.693877551	0.908163265	-0.502040816
4.591836735	0.948979592	-0.526530612
4.795918367	0.979591837	-0.53877551
4.591836735	0.918367347	-0.526530612
4.795918367	0.959183673	-0.526530612
4.795918367	0.928571429	-0.514285714
4.693877551	0.897959184	-0.514285714
4.795918367	1.0	-0.551020408
4.795918367	0.928571429	-0.526530612
4.591836735	0.918367347	-0.514285714
4.693877551	0.989795918	-0.53877551
4.591836735	0.928571429	-0.53877551
4.795918367	0.918367347	-0.514285714
4.693877551	0.969387755	-0.526530612
4.591836735	0.908163265	-0.514285714
4.693877551	0.918367347	-0.502040816
4.693877551	0.887755102	-0.502040816
4.795918367	0.93877551	-0.514285714
4.693877551	0.908163265	-0.526530612
4.795918367	0.959183673	-0.551020408
4.795918367	0.979591837	-0.563265306
4.591836735	0.928571429	-0.514285714
4.693877551	0.948979592	-0.514285714
4.591836735	0.979591837	-0.53877551
4.795918367	0.93877551	-0.53877551
4.795918367	1.0	-0.575510204
4.591836735	1.0	-0.551020408
4.693877551	0.959183673	-0.563265306
4.693877551	0.979591837	-0.575510204
4.591836735	0.959183673	-0.563265306
4.591836735	0.979591837	-0.575510204
4.591836735	0.959183673	-0.526530612
4.591836735	0.897959184	-0.514285714
4.795918367	0.908163265	-0.514285714
4.591836735	0.908163265	-0.526530612
4.795918367	0.908163265	-0.502040816
4.795918367	0.969387755	-0.526530612
4.693877551	1.0	-0.587755102
4.693877551	0.93877551	-0.551020408
4.591836735	1.0	-0.587755102
4.795918367	0.989795918	-0.53877551
4.591836735	0.93877551	-0.551020408
4.795918367	0.918367347	-0.502040816
4.795918367	0.897959184	-0.502040816
4.693877551	0.887755102	-0.489795918
4.795918367	0.918367347	-0.526530612
4.591836735	0.897959184	-0.502040816
4.795918367	0.948979592	-0.514285714
4.489795918	0.979591837	-0.563265306
4.693877551	0.928571429	-0.502040816
4.693877551	0.87755102	-0.489795918
4.693877551	0.87755102	-0.502040816
4.591836735	0.93877551	-0.514285714
4.489795918	0.969387755	-0.551020408
4.489795918	0.959183673	-0.551020408
4.489795918	0.989795918	-0.563265306
4.693877551	0.887755102	-0.514285714
4.693877551	0.918367347	-0.53877551
4.489795918	1.0	-0.575510204
4.591836735	0.887755102	-0.502040816
4.591836735	0.908163265	-0.502040816
4.591836735	0.918367347	-0.53877551
4.693877551	0.897959184	-0.489795918
