U	c1	c2
3.469387755	0.969387755	-0.6
3.469387755	0.959183673	-0.6
3.571428571	0.979591837	-0.6
3.571428571	0.969387755	-0.6
3.469387755	0.979591837	-0.6
3.571428571	0.989795918	-0.6
3.571428571	0.959183673	-0.6
3.469387755	0.948979592	-0.6
3.571428571	0.959183673	-0.587755102
3.469387755	0.989795918	-0.6
3.571428571	0.948979592	-0.587755102
3.469387755	0.948979592	-0.587755102
3.571428571	1.0	-0.6
3.571428571	0.948979592	-0.6
3.469387755	0.93877551	-0.6
3.571428571	0.969387755	-0.587755102
3.469387755	0.93877551	-0.587755102
3.469387755	0.959183673	-0.587755102
3.571428571	0.93877551	-0.587755102
3.469387755	0.928571429	-0.587755102
3.571428571	0.979591837	-0.587755102
3.469387755	0.969387755	-0.587755102
3.469387755	1.0	-0.6
3.571428571	0.93877551	-0.575510204
3.673469388	0.979591837	-0.6
3.673469388	0.989795918	-0.6
3.571428571	0.928571429	-0.575510204
3.571428571	0.928571429	-0.587755102
3.571428571	0.948979592	-0.575510204
3.469387755	0.928571429	-0.6
3.571428571	0.93877551	-0.6
3.673469388	0.969387755	-0.6
3.469387755	0.928571429	-0.575510204
3.469387755	0.918367347	-0.587755102
3.469387755	0.93877551	-0.575510204
3.673469388	1.0	-0.6
3.469387755	0.918367347	-0.575510204
3.571428571	0.918367347	-0.575510204
3.469387755	0.979591837	-0.587755102
3.673469388	0.969387755	-0.587755102
3.673469388	0.959183673	-0.587755102
3.367346939	0.959183673	-0.6
3.571428571	0.959183673	-0.575510204
3.571428571	0.989795918	-0.587755102
3.367346939	0.948979592	-0.6
3.367346939	0.969387755	-0.6
3.469387755	0.948979592	-0.575510204
3.673469388	0.959183673	-0.6
3.673469388	0.979591837	-0.587755102
3.673469388	0.948979592	-0.587755102
3.469387755	0.908163265	-0.575510204
3.367346939	0.93877551	-0.6
3.571428571	0.918367347	-0.587755102
3.571428571	0.918367347	-0.563265306
3.367346939	0.979591837	-0.6
3.571428571	0.928571429	-0.563265306
3.571428571	0.908163265	-0.575510204
3.469387755	0.908163265	-0.587755102
3.673469388	0.948979592	-0.575510204
3.469387755	0.918367347	-0.6
3.571428571	0.908163265	-0.563265306
3.571428571	0.928571429	-0.6
3.571428571	0.969387755	-0.575510204
3.673469388	0.93877551	-0.575510204
3.673469388	0.989795918	-0.587755102
3.469387755	0.959183673	-0.575510204
3.673469388	0.959183673	-0.575510204
3.673469388	0.93877551	-0.587755102
3.469387755	0.989795918	-0.587755102
3.367346939	0.928571429	-0.6
3.469387755	0.897959184	-0.575510204
3.571428571	0.93877551	-0.563265306
3.367346939	0.93877551	-0.587755102
3.469387755	0.908163265	-0.563265306
3.469387755	0.918367347	-0.563265306
3.571428571	1.0	-0.587755102
3.673469388	0.948979592	-0.6
3.673469388	0.928571429	-0.575510204
3.367346939	0.928571429	-0.587755102
3.367346939	0.948979592	-0.587755102
3.571428571	0.897959184	-0.563265306
3.469387755	0.897959184	-0.563265306
3.367346939	0.989795918	-0.6
3.673469388	0.969387755	-0.575510204
3.469387755	0.928571429	-0.563265306
3.367346939	0.918367347	-0.587755102
3.367346939	0.959183673	-0.587755102
3.673469388	0.928571429	-0.563265306
3.571428571	0.897959184	-0.575510204
3.571428571	0.948979592	-0.563265306
3.571428571	0.908163265	-0.587755102
3.469387755	0.887755102	-0.563265306
3.673469388	1.0	-0.587755102
3.571428571	0.979591837	-0.575510204
3.673469388	0.918367347	-0.563265306
3.367346939	0.918367347	-0.6
3.673469388	0.93877551	-0.563265306
3.469387755	0.969387755	-0.575510204
3.673469388	0.918367347	-0.575510204
3.673469388	0.928571429	-0.587755102
3.469387755	0.897959184	-0.587755102
3.571428571	0.897959184	-0.551020408
3.571428571	0.887755102	-0.563265306
3.571428571	0.908163265	-0.551020408
3.469387755	0.887755102	-0.575510204
3.469387755	0.93877551	-0.563265306
3.469387755	0.908163265	-0.6
3.367346939	0.908163265	-0.587755102
3.469387755	1.0	-0.587755102
3.571428571	0.887755102	-0.551020408
3.571428571	0.918367347	-0.6
3.673469388	0.908163265	-0.563265306
3.367346939	0.969387755	-0.587755102
3.673469388	0.948979592	-0.563265306
3.673469388	0.979591837	-0.575510204
3.673469388	0.93877551	-0.6
3.367346939	1.0	-0.6
3.367346939	0.918367347	-0.575510204
3.571428571	0.918367347	-0.551020408
3.367346939	0.928571429	-0.575510204
3.367346939	0.908163265	-0.575510204
3.469387755	0.87755102	-0.563265306
3.469387755	0.897959184	-0.551020408
3.469387755	0.887755102	-0.551020408
3.571428571	0.959183673	-0.563265306
3.571428571	0.87755102	-0.551020408
3.367346939	0.93877551	-0.575510204
3.673469388	0.908163265	-0.575510204
3.673469388	0.908163265	-0.551020408
3.367346939	0.908163265	-0.6
3.469387755	0.948979592	-0.563265306
3.469387755	0.908163265	-0.551020408
3.367346939	0.897959184	-0.575510204
3.469387755	0.87755102	-0.551020408
3.571428571	0.928571429	-0.551020408
3.571428571	0.887755102	-0.575510204
3.673469388	0.918367347	-0.551020408
3.673469388	0.897959184	-0.563265306
3.469387755	0.979591837	-0.575510204
3.673469388	0.959183673	-0.563265306
3.571428571	0.87755102	-0.563265306
3.673469388	0.897959184	-0.551020408
3.367346939	0.897959184	-0.587755102
3.571428571	0.989795918	-0.575510204
3.673469388	0.918367347	-0.587755102
3.367346939	0.979591837	-0.587755102
3.571428571	0.897959184	-0.587755102
3.469387755	0.87755102	-0.575510204
3.367346939	0.948979592	-0.575510204
3.673469388	0.928571429	-0.551020408
3.469387755	0.887755102	-0.587755102
3.673469388	0.989795918	-0.575510204
3.469387755	0.918367347	-0.551020408
3.469387755	0.867346939	-0.551020408
3.469387755	0.867346939	-0.563265306
3.571428571	0.867346939	-0.551020408
3.673469388	0.887755102	-0.551020408
3.367346939	0.887755102	-0.575510204
3.571428571	0.887755102	-0.53877551
3.571428571	0.87755102	-0.53877551
3.673469388	0.928571429	-0.6
3.571428571	0.93877551	-0.551020408
3.367346939	0.897959184	-0.563265306
3.469387755	0.897959184	-0.6
3.367346939	0.908163265	-0.563265306
3.571428571	0.897959184	-0.53877551
3.571428571	0.969387755	-0.563265306
3.571428571	0.867346939	-0.53877551
3.571428571	0.908163265	-0.6
3.469387755	0.959183673	-0.563265306
3.673469388	0.887755102	-0.563265306
3.673469388	0.93877551	-0.551020408
3.367346939	0.887755102	-0.563265306
3.673469388	0.969387755	-0.563265306
3.673469388	0.897959184	-0.575510204
3.367346939	0.918367347	-0.563265306
3.367346939	0.959183673	-0.575510204
3.367346939	0.887755102	-0.587755102
3.367346939	0.897959184	-0.6
3.469387755	0.928571429	-0.551020408
3.367346939	0.989795918	-0.587755102
3.469387755	0.857142857	-0.551020408
3.673469388	0.887755102	-0.53877551
3.673469388	0.897959184	-0.53877551
3.571428571	0.867346939	-0.563265306
3.673469388	0.87755102	-0.551020408
3.571428571	0.908163265	-0.53877551
3.469387755	0.989795918	-0.575510204
3.469387755	0.87755102	-0.53877551
3.469387755	0.867346939	-0.53877551
3.571428571	0.87755102	-0.575510204
3.367346939	0.87755102	-0.563265306
3.367346939	0.87755102	-0.575510204
3.571428571	0.857142857	-0.53877551
3.673469388	0.87755102	-0.53877551
