Support	U	c1	c2	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3	DFT+U_x1	DFT+U_x2	DFT+U_x3	DFT+U_x4	DFT+U_x5	DFT+U_x6	DFT+U_x7	DFT+U_p1	DFT+U_p2	DFT+U_p3	SISSO_x1	SISSO_x2	SISSO_x3	SISSO_x4	SISSO_x5	SISSO_x6	SISSO_x7	SISSO_p1	SISSO_p2	SISSO_p3	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval
a-TiO2	0	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.160335386	0.169720753	0.357439182	0.153397013	0.301976041	-9.35036E-07	-1.27976E-06	1.567048733	1.637464785	1.644817704	147	1.54	3	5	0	2	2.7
a-TiO2	1	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16482	0.14491	0.31814	0.14491	0.28247	0	0	1.69249	1.67021	1.69249	0.145551029	0.157494215	0.314865574	0.152958248	0.272089924	-9.35036E-07	-1.27976E-06	1.698506461	1.702880351	1.681655787	147	1.54	3	5	0	2	2.7
a-TiO2	2	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15035	0.12959	0.27751	0.12959	0.2304	0	0	1.754265	1.711	1.75427	0.130766672	0.144596374	0.272860257	0.149886888	0.242203807	-9.35036E-07	-1.27976E-06	1.753130005	1.734650764	1.734548028	147	1.54	3	5	0	2	2.7
a-TiO2	3	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.13688	0.11598	0.23323	0.11598	0.18273	0	0	1.818305	1.75838	1.81831	0.115982314	0.129301022	0.232884549	0.141550342	0.21231769	-9.35036E-07	-1.27976E-06	1.79305904	1.750910094	1.785572002	147	1.54	3	5	0	2	2.7
a-TiO2	4	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.12414	0.10384	0.19234	0.10384	0.14525	0	0	1.87939	1.806985	1.87939	0.101197957	0.108731145	0.197373985	0.125316016	0.182431573	-9.35036E-07	-1.27976E-06	1.824745771	1.759277899	1.834836633	147	1.54	3	5	0	2	2.7
a-TiO2	5	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1121	0.09299	0.15853	0.09299	0.11741	0	0	1.935145	1.8527	1.93515	0.0864136	0.078858925	0.169738309	0.098551315	0.152545456	-9.35036E-07	-1.27976E-06	1.851950543	1.763610032	1.882484406	147	1.54	3	5	0	2	2.7
a-TiO2	6	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.10091	0.08333	0.13185	0.08333	0.09676	0	0	1.985215	1.893885	1.98522	0.071629243	0.034505738	0.154361479	0.058623647	0.122659339	-9.35036E-07	-1.27976E-06	1.877510337	1.766119942	1.928625629	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17261	0.15323	0.33529	0.15323	0.30667	0	0	1.664165	1.653135	1.66417	0.152943207	0.163628462	0.336134619	0.153342167	0.287032982	-9.35036E-07	-1.27976E-06	1.656303729	1.676362031	1.654733261	147	1.54	3	5	0	2	2.7
a-TiO2	1	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1651	0.14489	0.31795	0.14488	0.28255	0	0	1.692485	1.6702	1.69249	0.145551029	0.157494215	0.314865574	0.152958248	0.272089924	-9.35036E-07	-1.27976E-06	1.698506461	1.702880351	1.681655787	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15791	0.137	0.29842	0.13699	0.25664	0	0	1.722705	1.68952	1.72271	0.13815885	0.151210124	0.29372338	0.151916179	0.257146865	-9.35036E-07	-1.27976E-06	1.720461662	1.721447198	1.708331457	147	1.54	3	5	0	2	2.7
