U	c1	c2	OV_Classification
0.5	1	0	1
1	1	0	1
1.5	1	0	-1
2	1	0	-1
2.5	1	0	-1
3	1	0	-1
0.5	1	-0.1	1
1	1	-0.1	1
1.5	1	-0.1	-1
2	1	-0.1	-1
2.5	1	-0.1	-1
3	1	-0.1	-1
0.5	1	-0.2	1
1	1	-0.2	1
1.5	1	-0.2	1
2	1	-0.2	-1
2.5	1	-0.2	-1
3	1	-0.2	-1
0.5	1	-0.3	1
1	1	-0.3	1
1.5	1	-0.3	1
2	1	-0.3	-2
2.5	1	-0.3	-2
3	1	-0.3	-2
0.5	1	-0.4	1
1	1	-0.4	1
1.5	1	-0.4	1
2	1	-0.4	-2
2.5	1	-0.4	-2
3	1	-0.4	-2
0.5	1	-0.5	1
1	1	-0.5	1
1.5	1	-0.5	1
2	1	-0.5	-2
2.5	1	-0.5	-2
3	1	-0.5	-2
0.5	0.9	-0.1	1
1	0.9	-0.1	1
1.5	0.9	-0.1	1
2	0.9	-0.1	-1
2.5	0.9	-0.1	-1
3	0.9	-0.1	-1
0.5	0.9	-0.5	1
1	0.9	-0.5	1
1.5	0.9	-0.5	1
2	0.9	-0.5	1
2.5	0.9	-0.5	-2
3	0.9	-0.5	-2
0.5	1.1	0	1
1	1.1	0	-1
1.5	1.1	0	-1
2	1.1	0	-1
2.5	1.1	0	-1
3	1.1	0	-1
0.5	1.1	-0.5	1
1	1.1	-0.5	-2
1.5	1.1	-0.5	-2
2	1.1	-0.5	-2
2.5	1.1	-0.5	-2
3	1.1	-0.5	-2
