U	c1	c2	E_OVform 	E_Ovform_Classification
0.5	0.9	-0.1	4.629645458	1
0.5	0.9	-0.5	1.633722077	0
1	0.9	-0.1	4.816359016	1
1	0.9	-0.5	-1.256596637	0
1.5	0.9	-0.1	5.357022953	1
1.5	0.9	-0.5	-3.859172466	0
2	0.9	-0.5	-7.114369852	0
0.5	1	-0.1	4.657401882	1
0.5	1	-0.2	4.726366808	1
0.5	1	-0.3	4.643424967	1
0.5	1	-0.4	4.636769455	1
0.5	1	-0.5	7.595739645	0
1	1	-0.1	5.274607313	1
1	1	-0.2	5.262605374	1
1	1	-0.3	5.253421653	1
1	1	-0.4	5.246044644	1
1	1	-0.5	11.25222997	0
1.5	1	-0.2	5.230953079	1
1.5	1	-0.3	5.216775149	1
1.5	1	-0.4	5.206163626	1
1.5	1	-0.5	14.3521376	0
0.5	1.1	0	4.690009095	1
0.5	1.1	-0.5	4.660367008	1
2.749	0.758	-0.352	-7.116075808	0
