U	c1	c2	E_bg
0.5	1	0	2.62940794
1	1	0	2.72418739
1.5	1	0	2.82006792
2	1	0	2.91848256
2.5	1	0	3.02060277
3	1	0	3.12752758
0.5	1	-0.1	2.62790413
1	1	-0.1	2.71944647
1.5	1	-0.1	2.81360031
2	1	-0.1	2.9099916
2.5	1	-0.1	3.00841895
3	1	-0.1	3.11159577
0.5	1	-0.2	2.62523076
1	1	-0.2	2.71460716
1.5	1	-0.2	2.8073514
2	1	-0.2	2.90319219
2.5	1	-0.2	3.00177046
3	1	-0.2	3.10475516
0.5	1	-0.5	2.60042643
1	1	-0.5	2.66280891
1.5	1	-0.5	2.72644452
2	1	-0.5	2.79121003
2.5	1	-0.5	2.85695657
3	1	-0.5	2.92351299
0.5	0.9	-0.1	2.61290248
1	0.9	-0.1	2.68815744
1.5	0.9	-0.1	2.76512722
2	0.9	-0.1	2.84382475
2.5	0.9	-0.1	2.92432563
3	0.9	-0.1	3.00677993
0.5	0.9	-0.5	2.61738222
1	0.9	-0.5	2.69922656
1.5	0.9	-0.5	2.78488101
2	0.9	-0.5	2.87418111
2.5	0.9	-0.5	2.96680879
3	0.9	-0.5	3.06229004
0.5	1.1	0	2.64622809
1	1.1	0	2.75832742
1.5	1.1	0	2.87312366
2	1.1	0	2.99101055
2.5	1.1	0	3.10687332
3	1.1	0	3.2276753
0.5	1.1	-0.5	2.63620752
1	1.1	-0.5	2.74187623
1.5	1.1	-0.5	2.85706484
2	1.1	-0.5	2.98223726
2.5	1.1	-0.5	3.12034569
3	1.1	-0.5	3.26443563
0.5	1.1	0	4.97428
1	1.1	0	5.04339
1.5	1.1	0	5.12435
2	1.1	0	5.217995
2.5	1.1	0	5.320945
3	1.1	0	5.428235
0.5	1.1	-0.5	4.90321
1	1.1	-0.5	4.891175
1.5	1.1	-0.5	4.878465
2	1.1	-0.5	4.86504
2.5	1.1	-0.5	4.85107
3	1.1	-0.5	4.835775
