U	c1	c2	E_DFT+U
0.5	1	0	-109823.26610
1	1	0	-109822.44210
1.5	1	0	-109821.65230
2	1	0	-109820.89950
2.5	1	0	-109820.18590
3	1	0	-109819.51230
0.5	1	-0.1	-109823.24380
1	1	-0.1	-109822.38440
1.5	1	-0.1	-109821.54380
2	1	-0.1	-109820.72300
2.5	1	-0.1	-109819.92290
3	1	-0.1	-109819.14440
0.5	1	-0.2	-109823.22450
1	1	-0.2	-109822.33920
1.5	1	-0.2	-109821.46550
2	1	-0.2	-109820.60370
2.5	1	-0.2	-109819.75370
3	1	-0.2	-109818.91560
0.5	1	-0.3	-109823.20780
1	1	-0.3	-109822.30410
1.5	1	-0.3	-109821.41060
2	1	-0.3	-109820.52730
2.5	1	-0.3	-109819.65440
3	1	-0.3	-109818.79210
0.5	1	-0.4	-109823.19320
1	1	-0.4	-109822.27750
1.5	1	-0.4	-109821.37460
2	1	-0.4	-109820.48470
2.5	1	-0.4	-109819.60830
3	1	-0.4	-109818.74570
0.5	1	-0.5	-109823.29050
1	1	-0.5	-109822.48120
1.5	1	-0.5	-109821.69470
2	1	-0.5	-109820.93230
2.5	1	-0.5	-109820.19580
3	1	-0.5	-109819.48670
0.5	0.9	-0.1	-109823.35810
1	0.9	-0.1	-109822.61090
1.5	0.9	-0.1	-109821.88020
2	0.9	-0.1	-109821.16630
2.5	0.9	-0.1	-109820.46960
3	0.9	-0.1	-109819.79050
0.5	0.9	-0.5	-109823.18070
1	0.9	-0.5	-109822.25850
1.5	0.9	-0.5	-109821.35560
2	0.9	-0.5	-109820.47270
2.5	0.9	-0.5	-109819.61070
3	0.9	-0.5	-109818.77020
0.5	1.1	0	-109823.16250
1	1.1	0	-109822.23250
1.5	1.1	0	-109821.33560
2	1.1	0	-109820.47730
2.5	1.1	0	-109819.66380
3	1.1	0	-109818.89960
0.5	1.1	-0.5	-109823.09170
1	1.1	-0.5	-109822.08070
1.5	1.1	-0.5	-109821.08970
2	1.1	-0.5	-109820.12080
2.5	1.1	-0.5	-109819.17580
3	1.1	-0.5	-109818.25740

