U	c1	c2	Tr_2p
0.5	1	0	4.98147
1	1	0	5.055175
1.5	1	0	5.134935
2	1	0	5.219535
2.5	1	0	5.306965
3	1	0	5.394995
0.5	1	-0.1	4.962355
1	1	-0.1	5.013685
1.5	1	-0.1	5.0689
2	1	-0.1	5.128235
2.5	1	-0.1	5.19174
3	1	-0.1	5.25947
0.5	1	-0.2	4.94408
1	1	-0.2	4.97509
1.5	1	-0.2	5.007795
2	1	-0.2	5.042455
2.5	1	-0.2	5.079315
3	1	-0.2	5.118985
0.5	1	-0.3	4.92665
1	1	-0.3	4.93895
1.5	1	-0.3	4.95151
2	1	-0.3	4.964345
2.5	1	-0.3	4.977485
3	1	-0.3	4.99099
0.5	1	-0.4	4.909875
1	1	-0.4	4.904535
1.5	1	-0.4	4.89852
2	1	-0.4	4.89178
2.5	1	-0.4	4.88427
3	1	-0.4	4.875945
0.5	1	-0.5	4.89359
1	1	-0.5	4.87099
1.5	1	-0.5	4.846755
2	1	-0.5	4.8208
2.5	1	-0.5	4.79306
3	1	-0.5	4.76346
0.5	0.9	-0.1	4.960735
1	0.9	-0.1	5.008995
1.5	0.9	-0.1	5.05935
2	0.9	-0.1	5.111785
2.5	0.9	-0.1	5.166155
3	0.9	-0.1	5.22232
0.5	0.9	-0.5	4.883085
1	0.9	-0.5	4.848645
1.5	0.9	-0.5	4.810965
2	0.9	-0.5	4.76976
2.5	0.9	-0.5	4.72471
3	0.9	-0.5	4.675545
0.5	1.1	0	4.97428
1	1.1	0	5.04339
1.5	1.1	0	5.12435
2	1.1	0	5.217995
2.5	1.1	0	5.320945
3	1.1	0	5.428235
0.5	1.1	-0.5	4.90321
1	1.1	-0.5	4.891175
1.5	1.1	-0.5	4.878465
2	1.1	-0.5	4.86504
2.5	1.1	-0.5	4.85107
3	1.1	-0.5	4.835775
