U	c1	c2	Tr_3d
0.5	1	0	1.12103
1	1	0	1.05537
1.5	1	0	0.98696
2	1	0	0.91775
2.5	1	0	0.84997
3	1	0	0.78547
0.5	1	-0.1	1.15866
1	1	-0.1	1.11537
1.5	1	-0.1	1.06996
2	1	-0.1	1.02253
2.5	1	-0.1	0.9734
3	1	-0.1	0.923
0.5	1	-0.2	1.19113
1	1	-0.2	1.16421
1.5	1	-0.2	1.13635
2	1	-0.2	1.10742
2.5	1	-0.2	1.07732
3	1	-0.2	1.04586
0.5	1	-0.3	1.21875
1	1	-0.3	1.20244
1.5	1	-0.3	1.18597
2	1	-0.3	1.16934
2.5	1	-0.3	1.15255
3	1	-0.3	1.13558
0.5	1	-0.4	1.24181
1	1	-0.4	1.23086
1.5	1	-0.4	1.22019
2	1	-0.4	1.20982
2.5	1	-0.4	1.19981
3	1	-0.4	1.1902
0.5	1	-0.5	1.26055
1	1	-0.5	1.2501
1.5	1	-0.5	1.2402
2	1	-0.5	1.23088
2.5	1	-0.5	1.22221
3	1	-0.5	1.21424
0.5	0.9	-0.1	0.94085
1	0.9	-0.1	0.90762
1.5	0.9	-0.1	0.87384
2	0.9	-0.1	0.83968
2.5	0.9	-0.1	0.80531
3	0.9	-0.1	0.77094
0.5	0.9	-0.5	1.02844
1	0.9	-0.5	1.01906
1.5	0.9	-0.5	1.01029
2	0.9	-0.5	1.00219
2.5	0.9	-0.5	0.99487
3	0.9	-0.5	0.98846
0.5	1.1	0	1.36733
1	1.1	0	1.29447
1.5	1.1	0	1.21109
2	1.1	0	1.11829
2.5	1.1	0	1.02087
3	1.1	0	0.9254
0.5	1.1	-0.5	1.51584
1	1.1	-0.5	1.50382
1.5	1.1	-0.5	1.49226
2	1.1	-0.5	1.48134
2.5	1.1	-0.5	1.47121
3	1.1	-0.5	1.46213
