U	c1	c2	v_0
0.5	1	0	137.7798316
1	1	0	137.757901
1.5	1	0	137.6737591
2	1	0	137.5293844
2.5	1	0	137.3253636
3	1	0	137.0670362
0.5	1	-0.1	137.7905571
1	1	-0.1	137.7816361
1.5	1	-0.1	137.7531339
2	1	-0.1	137.7012922
2.5	1	-0.1	137.6221476
3	1	-0.1	137.5321846
0.5	1	-0.2	137.7865757
1	1	-0.2	137.787312
1.5	1	-0.2	137.7851819
2	1	-0.2	137.7798233
2.5	1	-0.2	137.7711135
3	1	-0.2	137.7750815
0.5	1	-0.5	137.7617137
1	1	-0.5	137.7789816
1.5	1	-0.5	137.796195
2	1	-0.5	137.8133192
2.5	1	-0.5	137.8304654
3	1	-0.5	137.8474969
0.5	0.9	-0.1	137.7829564
1	0.9	-0.1	137.766237
1.5	0.9	-0.1	137.7315668
2	0.9	-0.1	137.6776479
2.5	0.9	-0.1	137.6032663
3	0.9	-0.1	137.5074204
0.5	0.9	-0.5	137.7427336
1	0.9	-0.5	137.7537839
1.5	0.9	-0.5	137.7644687
2	0.9	-0.5	137.7746954
2.5	0.9	-0.5	137.7842489
3	0.9	-0.5	137.793094
0.5	1.1	0	137.8035825
1	1.1	0	137.8398519
1.5	1.1	0	137.8764517
2	1.1	0	137.9278192
2.5	1.1	0	137.9446667
3	1.1	0	137.9602042
0.5	1.1	-0.5	137.787102
1	1.1	-0.5	137.8126954
1.5	1.1	-0.5	137.8392757
2	1.1	-0.5	137.8669912
2.5	1.1	-0.5	137.917092
3	1.1	-0.5	137.9380097
0.5	1	-0.3	137.7802293
1	1	-0.3	137.7806865
1.5	1	-0.3	137.7847708
2	1	-0.3	137.7930128
2.5	1	-0.3	137.8057694
3	1	-0.3	137.8235785
0.5	1	-0.4	137.7718575
1	1	-0.4	137.7643167
1.5	1	-0.4	137.7607775
2	1	-0.4	137.7615543
2.5	1	-0.4	137.7671048
3	1	-0.4	137.777688
