Material	U	c1	c2	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3
Anatase	1.020408163	0.5	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	1.530612245	0.704081633	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	1.836734694	0.795918367	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	2.244897959	0.87755102	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	2.653061224	0.928571429	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	2.755102041	0.93877551	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	2.857142857	0.959183673	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	2.959183673	0.969387755	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	3.06122449	0.979591837	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Anatase	3.367346939	1	-0.6	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065
Rutile	1.020408163	0.5	-0.526530612	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	1.530612245	0.632653061	-0.502040816	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	1.836734694	0.714285714	-0.502040816	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	2.244897959	0.765306122	-0.489795918	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	2.653061224	0.816326531	-0.489795918	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	2.755102041	0.826530612	-0.489795918	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	2.857142857	0.836734694	-0.489795918	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	2.959183673	0.846938776	-0.489795918	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	3.06122449	0.857142857	-0.489795918	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
Rutile	3.367346939	0.908163265	-0.514285714	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0	0	1.66049	1.62748	1.66049
CeO2	1.020408163	0.5	-0.159183673	204	1.12	4	7	0	2	7.6	0.08463	0.22705	0.06966	0.10708	0.06966	0.04721	0.08463	1.7503	1.7503	1.7503
CeO2	1.530612245	0.5	-0.220408163	204	1.12	4	7	0	2	7.6	0.08463	0.22705	0.06966	0.10708	0.06966	0.04721	0.08463	1.7503	1.7503	1.7503
CeO2	1.836734694	0.5	-0.281632653	204	1.12	4	7	0	2	7.6	0.08463	0.22705	0.06966	0.10708	0.06966	0.04721	0.08463	1.7503	1.7503	1.7503
CeO2	2.244897959	0.5	-0.6	204	1.12	4	7	0	2	7.6	0.08463	0.22705	0.06966	0.10708	0.06966	0.04721	0.08463	1.7503	1.7503	1.7503
